,formula,A,B,known,vA,vB,rA,rB,lattice,Hf,stability,muB,vol,gap,Ev,dR,dV,EnegA,EnegB,dEneg,gA,gB,pA,pB,Goldschmidt
58,AcTaO3,Ac,Ta,False,,,1.12,0.68,orthorhombic,-2.945,0.159,0.0,13.765,0.0,4.844,0.44000000000000006,,1.1,1.5,-0.3999999999999999,3.0,5.0,7,6,0.8674815150639087
59,AcTbO3,Ac,Tb,False,,,1.12,0.84,orthorhombic,-3.561,0.009,0.0,16.078,4.382,5.379,0.28000000000000014,,1.1,1.2,-0.09999999999999987,3.0,,7,6,0.8013876853447537
60,AcTcO3,Ac,Tc,False,,,1.12,0.6,orthorhombic,-2.487,0.069,0.397,13.358,0.0,3.73,0.5200000000000001,,1.1,1.9,-0.7999999999999998,3.0,7.0,7,5,0.9047925479698834
61,AcTeO3,Ac,Te,False,,,1.12,0.77,cubic,-1.817,0.558,0.001,16.423,0.0,2.116,0.3500000000000001,,1.1,2.1,-1.0,3.0,16.0,7,5,0.82902174346009
62,AcThO3,Ac,Th,False,,,1.12,0.94,cubic,-3.113,0.622,0.002,19.466,0.0,3.724,0.18000000000000016,,1.1,1.3,-0.19999999999999996,3.0,,7,7,0.7649609723745376
63,AcTiO3,Ac,Ti,False,,,1.12,0.71,orthorhombic,-3.443,-0.092,0.003,12.8,0.0,5.944,0.41000000000000014,,1.1,1.54,-0.43999999999999995,3.0,4.0,7,4,0.8542711366619203
64,AcTlO3,Ac,Tl,False,,,1.12,1.2,orthorhombic,-2.27,-0.012,0.0,15.973,1.041,1.876,-0.07999999999999985,,1.1,2.04,-0.94,3.0,13.0,7,6,0.6841114387089361
65,AcTmO3,Ac,Tm,False,,,1.12,0.96,orthorhombic,-3.772,-0.016,0.0,15.361,4.565,5.793,0.16000000000000014,,1.1,1.25,-0.1499999999999999,3.0,,7,6,0.7580694320828752
66,AcUO3,Ac,U,False,,,1.12,0.85,cubic,-2.874,0.635,0.525,17.809,0.0,2.892,0.27000000000000013,,1.1,1.38,-0.2799999999999998,3.0,,7,7,0.797589639442646
67,AcVO3,Ac,V,False,,,1.12,0.64,orthorhombic,-3.221,-0.116,0.4,12.873,1.21,4.968,0.4800000000000001,,1.1,1.63,-0.5299999999999998,3.0,5.0,7,4,0.8857442838020964
68,AcWO3,Ac,W,False,,,1.12,0.63,orthorhombic,-2.501,0.268,0.003,13.405,0.0,3.492,0.4900000000000001,,1.1,2.36,-1.2599999999999998,3.0,6.0,7,6,0.8904307614941708
69,AcYO3,Ac,Y,False,,,1.12,0.9,orthorhombic,-3.693,0.001,0.0,15.939,4.608,5.419,0.22000000000000008,,1.1,1.22,-0.11999999999999988,3.0,3.0,7,5,0.7791269163073995
70,AcYbO3,Ac,Yb,False,,,1.12,0.95,orthorhombic,-3.094,0.099,0.2,15.548,0.0,-0.312,0.17000000000000015,,1.1,1.1,0.0,3.0,,7,6,0.7614996105085896
71,AcZnO3,Ac,Zn,False,,,1.12,0.74,orthorhombic,-2.416,0.033,0.0,12.54,0.0,0.739,0.3800000000000001,,1.1,1.65,-0.5499999999999998,3.0,12.0,7,4,0.8414570696119914
72,AcZrO3,Ac,Zr,False,,,1.12,0.72,orthorhombic,-3.365,0.069,-0.001,14.751,0.0,5.242,0.40000000000000013,,1.1,1.33,-0.22999999999999998,3.0,4.0,7,5,0.8499566359717086
73,AgAcO3,Ag,Ac,False,,,1.28,1.12,orthorhombic,-1.674,0.283,0.0,15.943,0.0,-1.294,0.15999999999999992,,1.93,1.1,0.8299999999999998,11.0,3.0,5,7,0.7546433715184162
74,Ag2O3,Ag,Ag,False,,,1.28,0.95,cubic,0.351,0.576,,12.997,0.0,-2.694,0.33000000000000007,,1.93,1.93,0.0,11.0,11.0,5,5,0.8126928616352175
75,AgAlO3,Ag,Al,False,,,1.28,0.54,orthorhombic,-1.51,0.235,,9.898,0.0,-1.341,0.74,,1.93,1.61,0.31999999999999984,11.0,13.0,5,3,0.9978062356743503
76,AgAsO3,Ag,As,False,1.0,5.0,1.28,0.46,tetragonal,-0.815,0.293,,11.367,0.0,0.529,0.8200000000000001,-4.0,1.93,2.18,-0.2500000000000002,11.0,15.0,5,4,1.0442158280312968
77,AgAuO3,Ag,Au,False,,,1.28,0.93,cubic,0.286,0.539,,13.242,0.0,-1.113,0.35,,1.93,2.54,-0.6100000000000001,11.0,11.0,5,6,0.8201147142528907
78,AgBO3,Ag,B,False,3.0,3.0,0.75,0.27,cubic,-0.35,1.074,,8.138,0.0,-2.641,0.48,0.0,1.93,2.04,-0.1100000000000001,11.0,13.0,5,2,0.9289442027352682
79,AgBaO3,Ag,Ba,False,,,1.28,1.35,orthorhombic,-0.989,0.388,,15.631,0.247,-6.975,-0.07000000000000006,,1.93,0.89,1.04,11.0,2.0,5,6,0.6881422314995519
80,AgBeO3,Ag,Be,False,,,1.28,0.45,cubic,-0.616,0.683,,8.781,0.0,-3.058,0.8300000000000001,,1.93,1.57,0.3599999999999999,11.0,2.0,5,2,1.0503223533414214
81,AgBiO3,Ag,Bi,False,1.0,5.0,1.28,0.76,rhombohedral,-0.817,0.064,,13.662,0.0,-0.062,0.52,-4.0,1.93,2.02,-0.09000000000000008,11.0,15.0,5,6,0.8891342694127874
82,AgCaO3,Ag,Ca,False,,,1.28,1.0,rhombohedral,-0.975,0.435,,14.204,0.0,-6.108,0.28,,1.93,1.0,0.9299999999999999,11.0,2.0,5,4,0.7947129310680667
83,AgCdO3,Ag,Cd,False,,,1.28,0.95,cubic,0.174,0.781,,14.05,0.0,-4.143,0.33000000000000007,,1.93,1.69,0.24,11.0,12.0,5,5,0.8126928616352175
84,AgCeO3,Ag,Ce,False,,,1.28,0.94,orthorhombic,-1.597,0.28,0.0,15.13,0.0,-3.253,0.3400000000000001,,1.93,1.12,0.8099999999999998,11.0,,5,6,0.8163869200971956
85,AgCoO3,Ag,Co,False,,,1.28,0.63,orthorhombic,-0.481,0.258,0.005,10.146,0.0,,0.65,,1.93,1.88,0.050000000000000044,11.0,9.0,5,4,0.9502916530231907
86,AgCrO3,Ag,Cr,False,1.0,5.0,1.28,0.49,orthorhombic,-1.236,0.15,0.386,10.545,0.0,0.037,0.79,-4.0,1.93,1.66,0.27,11.0,6.0,5,4,1.0263149852650462
87,AgCsO3,Ag,Cs,False,,,1.28,1.67,cubic,0.539,1.287,,16.599,0.0,-1.803,-0.3899999999999999,,1.93,0.79,1.14,11.0,1.0,5,6,0.612986765943287
88,AgCuO3,Ag,Cu,False,,,1.28,0.68,orthorhombic,-0.224,0.23,,10.222,0.0,-2.405,0.6,,1.93,1.9,0.030000000000000027,11.0,11.0,5,4,0.9257996001102219
89,AgDyO3,Ag,Dy,False,,,1.28,0.99,cubic,-1.334,0.704,0.0,16.23,0.0,-3.359,0.29000000000000004,,1.93,1.22,0.71,11.0,,5,6,0.7982449885394802
90,AgErO3,Ag,Er,False,,,1.28,0.89,cubic,-1.386,0.675,-0.023,15.94,0.0,-3.225,0.39,,1.93,1.24,0.69,11.0,,5,6,0.8353726624250375
91,AgEuO3,Ag,Eu,False,,,1.28,1.06,orthorhombic,-1.17,0.347,-0.033,13.994,0.0,-4.981,0.21999999999999997,,1.93,1.2,0.73,11.0,,5,6,0.7741600104369958
92,AgFeO3,Ag,Fe,False,,,1.28,0.67,orthorhombic,-0.817,0.142,0.851,10.78,0.0,,0.61,,1.93,1.83,0.09999999999999987,11.0,8.0,5,4,0.9305964892299641
93,AgGaO3,Ag,Ga,False,,,1.28,0.62,orthorhombic,-0.927,0.236,,10.602,0.0,-2.518,0.66,,1.93,1.81,0.11999999999999988,11.0,13.0,5,4,0.9553463958584206
94,AgGdO3,Ag,Gd,False,,,1.28,0.94,cubic,-1.281,0.728,0.0,16.72,0.0,-3.47,0.3400000000000001,,1.93,1.2,0.73,11.0,,5,6,0.8163869200971956
95,AgGeO3,Ag,Ge,False,,,1.28,0.63,orthorhombic,-1.053,0.186,,10.4,0.0,-0.267,0.65,,1.93,2.01,-0.07999999999999985,11.0,14.0,5,4,0.9502916530231907
96,AgHfO3,Ag,Hf,False,,,1.28,0.71,orthorhombic,-2.24,0.17,0.002,12.255,0.0,-0.054,0.5700000000000001,,1.93,1.3,0.6299999999999999,11.0,4.0,5,6,0.9117011290425536
97,AgHgO3,Ag,Hg,False,,,1.28,1.11,cubic,0.409,0.703,,14.36,0.0,-3.166,0.16999999999999993,,1.93,2.0,-0.07000000000000006,11.0,12.0,5,6,0.7578275207653293
98,AgHoO3,Ag,Ho,False,,,1.28,0.9,cubic,-1.362,0.688,0.03,15.995,0.0,-3.272,0.38,,1.93,1.23,0.7,11.0,,5,6,0.831505196395292
99,AgInO3,Ag,In,False,,,1.28,0.8,cubic,-0.391,0.643,,14.198,0.0,-3.35,0.48,,1.93,1.78,0.1499999999999999,11.0,13.0,5,5,0.8718695263173936
100,AgIrO3,Ag,Ir,False,1.0,5.0,1.28,0.57,rhombohedral,-0.591,0.154,0.007,11.313,0.0,1.233,0.7100000000000001,-4.0,1.93,2.2,-0.27000000000000024,11.0,9.0,5,6,0.9814487564010003
101,AgKO3,Ag,K,False,,,1.28,1.38,cubic,1.006,1.761,,16.199,0.0,-4.658,-0.09999999999999987,,1.93,0.82,1.1099999999999999,11.0,1.0,5,4,0.6803224334143299
102,AgLaO3,Ag,La,False,,,1.28,1.03,orthorhombic,-1.707,0.261,0.089,15.011,0.0,-2.616,0.25,,1.93,1.1,0.8299999999999998,11.0,3.0,5,6,0.7843018446348605
103,AgLiO3,Ag,Li,False,,,1.28,0.76,cubic,0.105,0.926,,9.602,0.0,-5.547,0.52,,1.93,0.98,0.95,11.0,1.0,5,2,0.8891342694127874
104,AgLuO3,Ag,Lu,False,,,1.28,0.86,cubic,-1.528,0.565,-0.4,15.37,0.0,-2.317,0.42000000000000004,,1.93,1.27,0.6599999999999999,11.0,,5,6,0.8471939736857691
105,AgMgO3,Ag,Mg,False,,,1.28,0.72,cubic,-0.609,0.694,,11.551,0.0,-3.823,0.56,,1.93,1.31,0.6199999999999999,11.0,2.0,5,3,0.907096577885773
106,AgMnO3,Ag,Mn,False,,,1.28,0.62,orthorhombic,-1.013,0.151,0.596,10.451,0.0,-0.942,0.66,,1.93,1.55,0.3799999999999999,11.0,7.0,5,4,0.9553463958584206
107,AgMoO3,Ag,Mo,False,1.0,5.0,1.28,0.61,cubic,-1.548,0.182,0.0,11.963,0.0,4.381,0.67,-4.0,1.93,2.16,-0.2300000000000002,11.0,6.0,5,5,0.9604552001143479
108,AgNaO3,Ag,Na,False,,,1.28,1.02,cubic,0.624,1.373,,13.092,0.0,-9.782,0.26,,1.93,0.93,0.9999999999999999,11.0,1.0,5,3,0.787741765006066
109,AgNbO3,Ag,Nb,True,1.0,5.0,1.28,0.64,rhombohedral,-2.009,0.043,0.0,12.263,1.269,4.672,0.64,-4.0,1.93,1.6,0.32999999999999985,11.0,5.0,5,5,0.9452901180072794
110,AgNdO3,Ag,Nd,False,,,1.28,0.98,cubic,-1.152,0.827,0.013,17.662,0.0,-3.549,0.30000000000000004,,1.93,1.14,0.79,11.0,,5,6,0.8018085822383172
111,AgNiO3,Ag,Ni,False,,,1.28,0.59,orthorhombic,-0.377,0.232,0.006,10.196,0.0,-1.927,0.6900000000000001,,1.93,1.91,0.020000000000000018,11.0,10.0,5,4,0.9708384995750435
112,AgNpO3,Ag,Np,False,,,1.28,0.86,orthorhombic,-2.246,0.086,0.4,14.282,1.698,1.048,0.42000000000000004,,1.93,1.36,0.5699999999999998,11.0,,5,7,0.8471939736857691
113,AgOsO3,Ag,Os,False,,,1.28,0.57,rhombohedral,-0.801,0.18,0.077,11.258,0.0,3.043,0.7100000000000001,,1.93,2.2,-0.27000000000000024,11.0,8.0,5,6,0.9814487564010003
114,AgPaO3,Ag,Pa,False,,,1.28,0.91,rhombohedral,-2.326,-0.361,0.0,14.961,2.571,4.367,0.37,,1.93,1.5,0.42999999999999994,11.0,,5,7,0.827673375213747
115,AgPbO3,Ag,Pb,False,,,1.28,0.99,orthorhombic,-0.668,0.106,,13.353,0.0,-1.825,0.29000000000000004,,1.93,2.33,-0.40000000000000013,11.0,14.0,5,6,0.7982449885394802
116,AgPdO3,Ag,Pd,False,,,1.28,0.75,orthorhombic,-0.323,0.115,,11.304,0.0,-1.906,0.53,,1.93,2.2,-0.27000000000000024,11.0,10.0,5,5,0.8935578229919556
117,AgPmO3,Ag,Pm,False,,,1.28,0.97,cubic,-1.194,0.757,-0.025,17.337,0.0,-3.507,0.31000000000000005,,1.93,1.13,0.8,11.0,,5,6,0.8054041364187581
118,AgPrO3,Ag,Pr,False,,,1.28,0.92,orthorhombic,-1.624,0.276,-0.001,14.835,0.0,-3.23,0.36,,1.93,1.13,0.8,11.0,,5,6,0.8238767083549681
119,AgPtO3,Ag,Pt,False,,,1.28,0.67,orthorhombic,-0.389,0.162,0.185,11.472,0.0,-0.739,0.61,,1.93,2.28,-0.34999999999999987,11.0,10.0,5,6,0.9305964892299641
120,AgPuO3,Ag,Pu,False,,,1.28,0.83,orthorhombic,-2.016,0.046,0.6,14.166,0.997,0.281,0.45000000000000007,,1.93,1.28,0.6499999999999999,11.0,,5,7,0.8593546527338903
121,AgRbO3,Ag,Rb,False,,,1.28,1.52,cubic,0.957,1.699,,16.106,0.0,-12.398,-0.24,,1.93,0.82,1.1099999999999999,11.0,1.0,5,5,0.6460615914438239
122,AgReO3,Ag,Re,False,1.0,5.0,1.28,0.58,cubic,-1.22,0.301,0.0,11.768,0.0,4.367,0.7000000000000001,-4.0,1.93,1.9,0.030000000000000027,11.0,7.0,5,6,0.9761147957683862
123,AgRhO3,Ag,Rh,False,,,1.28,0.61,orthorhombic,-0.541,0.188,0.038,11.041,0.0,0.287,0.67,,1.93,2.28,-0.34999999999999987,11.0,9.0,5,5,0.9604552001143479
124,AgRuO3,Ag,Ru,False,1.0,5.0,1.28,0.57,rhombohedral,-0.754,0.112,0.1,11.148,0.0,1.891,0.7100000000000001,-4.0,1.93,2.2,-0.27000000000000024,11.0,8.0,5,5,0.9814487564010003
125,AgSbO3,Ag,Sb,True,1.0,5.0,1.28,0.6,orthorhombic,-1.157,0.109,,12.152,0.0,2.278,0.68,-4.0,1.93,2.05,-0.11999999999999988,11.0,15.0,5,5,0.9656189377493715
126,AgScO3,Ag,Sc,False,,,1.28,0.75,orthorhombic,-1.781,0.235,0.001,11.772,0.0,-2.029,0.53,,1.93,1.36,0.5699999999999998,11.0,3.0,5,4,0.8935578229919556
127,AgSiO3,Ag,Si,False,,,1.28,0.4,tetragonal,-1.63,0.32,,10.221,0.0,0.186,0.88,,1.93,1.9,0.030000000000000027,11.0,14.0,5,3,1.0819585688035123
128,AgSmO3,Ag,Sm,False,,,1.28,0.96,cubic,-1.22,0.743,0.054,17.49,0.0,-3.43,0.32000000000000006,,1.93,1.17,0.76,11.0,,5,6,0.8090320829792031
129,AgSnO3,Ag,Sn,False,,,1.28,0.69,orthorhombic,-1.126,0.152,,12.255,0.0,-0.512,0.5900000000000001,,1.93,1.96,-0.030000000000000027,11.0,14.0,5,5,0.9210519098532465
130,AgSrO3,Ag,Sr,False,,,1.28,1.18,orthorhombic,-1.047,0.354,,14.274,0.0,-7.543,0.10000000000000009,,1.93,0.95,0.98,11.0,2.0,5,5,0.7360865673007503
